DEBUG:root:idx_keep count:443
DEBUG:root:x_l:(100, 443), y_l:(100, 10), x_u:(49900, 443), y_(49900, 10)
DEBUG:root:num batches:250.0, batch_size:200,  num_lab_batch 100, num_ulab_batch:100, epochs:1200
DEBUG:root:labeled + unlabeled loss
DEBUG:root:Training Auxiliary VAE:
DEBUG:root:Iteration: 15101, Training Loss: -2346507 Acc:1.0 marg_lik: 617420.5625  Validation Acc:0.5791 marg_lik: -100894747.54 , 
DEBUG:root:Iteration: 15201, Training Loss: -2531063 Acc:1.0 marg_lik: 695128.875  Validation Acc:0.5798 marg_lik: -71496835.24 , 
DEBUG:root:Iteration: 15301, Training Loss: -2824151 Acc:1.0 marg_lik: -13436491.0  Validation Acc:0.6201 marg_lik: -73814619.3 , 
DEBUG:root:Iteration: 15401, Training Loss: -1972214 Acc:1.0 marg_lik: -338643.125  Validation Acc:0.5886 marg_lik: -23828108.88 , 
DEBUG:root:Iteration: 15501, Training Loss: -1946995 Acc:1.0 marg_lik: -1078250.375  Validation Acc:0.5768 marg_lik: -829294375.22 , 
DEBUG:root:Iteration: 15601, Training Loss: -868255 Acc:1.0 marg_lik: -1947369.25  Validation Acc:0.6033 marg_lik: -124356279.24 , 
DEBUG:root:Iteration: 15701, Training Loss: -2861391 Acc:0.56 marg_lik: -2597662208.0  Validation Acc:0.5728 marg_lik: -186401092.66 , 
DEBUG:root:Iteration: 15801, Training Loss: -2717787 Acc:1.0 marg_lik: -15862778.0  Validation Acc:0.6074 marg_lik: -162784720.7 , 
DEBUG:root:Iteration: 15901, Training Loss: -2395998 Acc:1.0 marg_lik: -44512012.0  Validation Acc:0.626 marg_lik: -1017548127.84 , 
DEBUG:root:Iteration: 16001, Training Loss: 667630 Acc:1.0 marg_lik: -1882342.125  Validation Acc:0.577 marg_lik: -46949141.96 , 
DEBUG:root:Iteration: 16101, Training Loss: -2593487 Acc:1.0 marg_lik: -30606064.0  Validation Acc:0.5974 marg_lik: -452659755.64 , 
DEBUG:root:Iteration: 16201, Training Loss: -2415277 Acc:1.0 marg_lik: -41081052.0  Validation Acc:0.5862 marg_lik: -4058882354.36 , 
DEBUG:root:Iteration: 16301, Training Loss: -989598 Acc:0.98 marg_lik: -20927128.0  Validation Acc:0.5878 marg_lik: -73753500.84 , 
